number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
70,0.0,2026-03-31 16:51:50.960603,2026-03-31 16:51:52.490217,0 days 00:00:01.529614,0.0017922604827144484,288,COMPLETE
71,0.0,2026-03-31 16:51:52.490660,2026-03-31 16:51:53.791648,0 days 00:00:01.300988,0.002782350944557911,193,COMPLETE
72,0.12475314706420992,2026-03-31 16:51:53.792047,2026-03-31 16:51:55.126469,0 days 00:00:01.334422,0.0028169713353487454,169,COMPLETE
73,0.13796346348315938,2026-03-31 16:51:55.126882,2026-03-31 16:51:56.390433,0 days 00:00:01.263551,0.003852075750540907,197,COMPLETE
74,0.0,2026-03-31 16:51:56.390869,2026-03-31 16:51:57.641965,0 days 00:00:01.251096,0.002998418039752656,180,COMPLETE
75,0.18407601809584362,2026-03-31 16:51:57.642396,2026-03-31 16:51:59.001158,0 days 00:00:01.358762,0.0024003632486700316,207,COMPLETE
76,0.23657601502346468,2026-03-31 16:51:59.001548,2026-03-31 16:52:00.340305,0 days 00:00:01.338757,0.0020513199395710176,160,COMPLETE
77,0.18560083918669168,2026-03-31 16:52:00.340698,2026-03-31 16:52:01.673451,0 days 00:00:01.332753,0.004271282783694902,266,COMPLETE
78,0.35910413134100966,2026-03-31 16:52:01.673872,2026-03-31 16:52:02.986566,0 days 00:00:01.312694,0.0012047106301147968,214,COMPLETE
79,0.0,2026-03-31 16:52:02.986984,2026-03-31 16:52:04.621128,0 days 00:00:01.634144,0.001303902066360685,250,COMPLETE
80,0.30473374210989373,2026-03-31 16:52:04.621540,2026-03-31 16:52:05.944779,0 days 00:00:01.323239,0.0011985783539332385,212,COMPLETE
81,0.1129169189724967,2026-03-31 16:52:05.945177,2026-03-31 16:52:07.321314,0 days 00:00:01.376137,0.0014647426394720684,208,COMPLETE
82,0.29606060984707055,2026-03-31 16:52:07.321747,2026-03-31 16:52:08.629122,0 days 00:00:01.307375,0.0011134211966347936,184,COMPLETE
83,0.31224918968021736,2026-03-31 16:52:08.629556,2026-03-31 16:52:09.892194,0 days 00:00:01.262638,0.001116996884753871,188,COMPLETE
84,0.0,2026-03-31 16:52:09.892589,2026-03-31 16:52:11.422330,0 days 00:00:01.529741,0.0011505019382387555,212,COMPLETE
85,0.0,2026-03-31 16:52:11.422723,2026-03-31 16:52:12.854392,0 days 00:00:01.431669,0.001409491487758864,174,COMPLETE
86,0.10466973623073832,2026-03-31 16:52:12.854823,2026-03-31 16:52:14.246804,0 days 00:00:01.391981,0.0011477156274452714,189,COMPLETE
87,0.0,2026-03-31 16:52:14.247237,2026-03-31 16:52:15.526898,0 days 00:00:01.279661,0.001619987585442041,231,COMPLETE
88,0.26034247795614374,2026-03-31 16:52:15.527284,2026-03-31 16:52:16.814168,0 days 00:00:01.286884,0.0012408498956668844,152,COMPLETE
89,0.0,2026-03-31 16:52:16.814558,2026-03-31 16:52:18.087232,0 days 00:00:01.272674,0.0034964108927565715,166,COMPLETE
90,0.0,2026-03-31 16:52:18.087670,2026-03-31 16:52:19.682590,0 days 00:00:01.594920,0.0010257118883216028,200,COMPLETE
91,0.0,2026-03-31 16:52:19.683029,2026-03-31 16:52:21.219385,0 days 00:00:01.536356,0.001076352667336693,183,COMPLETE
92,0.16388023237673466,2026-03-31 16:52:21.219790,2026-03-31 16:52:22.685713,0 days 00:00:01.465923,0.0012007464505134743,223,COMPLETE
93,0.0,2026-03-31 16:52:22.686121,2026-03-31 16:52:23.968014,0 days 00:00:01.281893,0.0014941701904532415,190,COMPLETE
94,0.29976073873408454,2026-03-31 16:52:23.968441,2026-03-31 16:52:25.284326,0 days 00:00:01.315885,0.00251449985044732,214,COMPLETE
95,0.16430176611218322,2026-03-31 16:52:25.284751,2026-03-31 16:52:26.678931,0 days 00:00:01.394180,0.0024872577810340275,238,COMPLETE
96,0.0,2026-03-31 16:52:26.679321,2026-03-31 16:52:27.940398,0 days 00:00:01.261077,0.08874990983893913,213,COMPLETE
97,0.26132400143371187,2026-03-31 16:52:27.940792,2026-03-31 16:52:29.248025,0 days 00:00:01.307233,0.0025789573633816913,204,COMPLETE
98,0.1046697354259695,2026-03-31 16:52:29.248456,2026-03-31 16:52:30.707745,0 days 00:00:01.459289,0.0021416869826212034,230,COMPLETE
99,0.32850059103788726,2026-03-31 16:52:30.708190,2026-03-31 16:52:32.092103,0 days 00:00:01.383913,0.0017241301117223592,264,COMPLETE
100,0.0,2026-03-31 16:52:32.092496,2026-03-31 16:52:33.717925,0 days 00:00:01.625429,0.001666766136226925,281,COMPLETE
