number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
66,-5.6489638078360827e-08,COMPLETE,0.0007956223245145896,13,240,5.546966910774311e-06,0.00012768412334449286,0.5303866876002381,-5.6489638078360827e-08
67,-1.7526646800547496e-11,COMPLETE,3.1669915060898004e-05,25,30,4.585337093101192e-10,1.4240104123127372e-08,0.9740752802796253,-1.7526646800547496e-11
68,7.974563421975223e-05,COMPLETE,3.298604620505517e-05,23,10,0.009556653432933451,0.3873532006971263,0.882472964283795,7.974563421975223e-05
69,-3.0798521510888577e-09,COMPLETE,0.00010782817571627423,25,90,2.3211453947391428e-07,7.736405566881965e-06,0.9909067013730551,-3.0798521510888577e-09
70,-1.5214918214212503e-10,COMPLETE,0.00011266189161357564,24,70,4.257071097556943e-09,1.3583291691561004e-07,0.9893070544917418,-1.5214918214212503e-10
71,-2.273347243786361e-08,COMPLETE,0.0003724668978821331,24,60,1.2361749682526953e-06,3.643061586349487e-05,0.9659373347593547,-2.273347243786361e-08
72,0.001542041813768158,COMPLETE,0.0007431609740201286,25,10,0.03872553244458977,1.7546224318238786,0.8583495622082219,0.001542041813768158
73,0.0006642005697296005,COMPLETE,2.1880817686433083e-05,18,10,0.030106748413573574,1.143926640512495,0.8826235386387988,0.0006642005697296005
74,-5.9454483558596394e-08,COMPLETE,0.0006991422738625288,22,20,4.3498149800689535e-07,1.5294651844124508e-05,0.9244210906196084,-5.9454483558596394e-08
75,5.466104346785183e-05,COMPLETE,3.0728214538675644e-05,18,10,0.007999653580635514,0.3207542497062421,0.8826020019380378,5.466104346785183e-05
76,0.0007254236101901235,COMPLETE,2.1031048226853797e-05,18,10,0.031591801213003264,1.1973910356821722,0.8826252268830406,0.0007254236101901235
77,-4.124036001584841e-08,COMPLETE,1.814716213122388e-05,19,20,7.273866769739773e-07,2.5101732525339678e-05,0.955253692467965,-4.124036001584841e-08
78,0.00216196796054402,COMPLETE,0.005575037147930395,16,10,0.0635053386835992,2.136106797802973,0.17048111295255403,0.00216196796054402
79,0.002337548884505214,COMPLETE,0.005158289336955676,16,10,0.06404987833415197,2.222809820390718,0.21334107067059935,0.002337548884505214
80,1.3748250641931747e-05,COMPLETE,0.00806202780018217,16,20,0.01001967285952234,0.16093163135139482,0.015752549409136788,1.3748250641931747e-05
81,0.0013419056606074342,COMPLETE,0.00259363819381887,14,10,0.03923317060003971,1.6413374071559357,0.605637260376128,0.0013419056606074342
82,0.0011682562651863515,COMPLETE,0.004057420471329446,14,10,0.04097884524773264,1.5335790254993487,0.3587885908223354,0.0011682562651863515
83,0.0008374396594678091,COMPLETE,0.0012533683465257516,13,10,0.02820595128574828,1.2822490183529929,0.811065868543528,0.0008374396594678091
84,-4.1938926109708063e-08,COMPLETE,0.0027495714902618803,17,20,1.1424013445710858e-06,3.250322136088702e-05,0.5578826547256452,-4.1938926109708063e-08
85,-3.059061892685122e-10,COMPLETE,0.001778524871634466,12,50,7.174797008625827e-09,1.7579193176244268e-07,0.5803999110770116,-3.059061892685122e-10
86,0.0007432205450577101,COMPLETE,0.004281783915971899,13,10,0.03369959813987752,1.214122931527975,0.32369499783558014,0.0007432205450577101
87,0.0007959353308530925,COMPLETE,0.0070450597372231265,14,10,0.04354154657179658,1.2680457669188896,0.0570669969564363,0.0007959353308530925
88,-7.13052061840358e-10,COMPLETE,0.0015736055225123496,25,30,1.5755096337737105e-08,4.099033758281187e-07,0.7824249834097478,-7.13052061840358e-10
