PERMNO	TICKER	COMNAM	PERMCO
11308	KO	COCA COLA CO	20468
11343	SAFM	SANDERSON FARMS INC	9188
11348	CNBKA	CENTURY BANCORP INC	9193
11361	ECT	E C A MARCELLUS TRUST I	53460
11363	SCIN	E G A EMERGING GLOBAL SHARES TR	53146
11368	AIRT	AIR T INC	6977
11369	UBSI	UNITED BANKSHARES INC	9213
11370	ENV	ENVESTNET INC	53461
11378	CCC	CALGON CARBON CORP	9221
11379	CMRG	CASUAL MALE RETAIL GROUP INC	9222
11379	DXLG	CASUAL MALE RETAIL GROUP INC	9222
11382	SKS	SAKS INC	9225
11393	SWTX	SOUTHWALL TECHNOLOGIES INC	9234
11394	KOOL	THERMOGENESIS CORP	9235
11396	UNIB	UNIVERSITY BANCORP INC	9237
11397	WASH	WASHINGTON TRUST BANCORP INC	9239
11402	DRJ	DREAMS INC	9244
11403	CDNS	CADENCE DESIGN SYSTEMS INC	9245
11404	ED	CONSOLIDATED EDISON INC	20499
11406	SUR	C N A SURETY CORP	9247
11407	LIT	GLOBAL X FUNDS	53120
11426	XETA	XETA TECHNOLOGIES INC	9264
11441	NHLD	NATIONAL HOLDINGS CORP	9278
11442	CHCO	CITY HOLDING CO	9280
11456	ALAN	ALANCO TECHNOLOGIES INC	5348
11478	BRY	BERRY PETROLEUM CO	9309
11481	EBIX	EBIX INC	9312
11499	CECE	C E C O ENVIRONMENTAL CORP	176
11505	BRAF	GLOBAL X FUNDS	53120
11506	FSBI	FIDELITY BANCORP INC	9838
11510	BNHNA	BENIHANA INC	5977
11511	CPSH	C P S TECHNOLOGIES CORP	9340
11513	FFKY	FIRST FINANCIAL SERVICE CORP	9341
11533	FIC	FAIR ISAAC CORP	9360
11533	FICO	FAIR ISAAC CORP	9360
11547	CNMD	CONMED CORP	9370
11552	CELG	CELGENE CORP	9374
11565	HBNC	HORIZON BANCORP IND	9389
11581	ATU	ACTUANT CORP	323
11587	ATRI	ATRION CORP	392
11593	SNFCA	SECURITY NATIONAL FINANCIAL CORP	9418
11599	ACO	AMCOL INTERNATIONAL CORP	9425
11600	XRAY	DENTSPLY INTERNATIONAL INC NEW	9424
11618	FAST	FASTENAL CO	9440
11628	CPF	CENTRAL PACIFIC FINANCIAL CORP	9449
11636	APPA	A P PHARMA INC	9457
11636	HRTX	HERON THERAPEUTICS INC	9457
11638	LABL	MULTI COLOR CORP	9459
11641	AIRM	AIR METHODS CORP	9462
11644	CRK	COMSTOCK RESOURCES INC	9465
11648	BRAQ	GLOBAL X FUNDS	53120
11652	HARL	HARLEYSVILLE SAVINGS FINAN CORP	9473
11654	NAII	NATURAL ALTERNATIVES INTL INC	9476
11664	GDOT	GREEN DOT CORP	53462
11674	DTE	D T E ENERGY CO	20574
11691	AXB	ALEXANDER & BALDWIN INC	157
11691	ALEX	ALEXANDER & BALDWIN INC	157
11691	MATX	MATSON INC	157
11701	IMKTA	INGLES MARKETS INC	9522
11703	DD	DU PONT E I DE NEMOURS & CO	20606
11707	CBM	CAMBREX CORP	9526
11731	AIN	ALBANY INTERNATIONAL CORP NEW	9550
11739	ACEL	ALFACELL CORP	35
11748	DGICB	DONEGAL GROUP INC	8686
11750	RBPAA	ROYAL BANCSHARES PA INC	9490
11752	IIVI	II VI INC	9558
11754	EK	EASTMAN KODAK CO	20626
11762	ETN	EATON CORP	20627
11775	JOUT	JOHNSON OUTDOORS INC	9576
11781	TIGR	TIGERLOGIC CORP	9582
11786	SIVB	S V B FINANCIAL GROUP	9588
11790	ALCO	ALICO INC	153
11803	MITK	MITEK SYSTEMS INC	9604
11809	CLH	CLEAN HARBORS INC	9616
11814	AXUT	ISHARES TRUST	37493
11823	PBKS	PROVIDENT BANKSHARES CORP	9630
11825	CYBE	CYBEROPTICS CORP	9632
11839	MFLR	MAYFLOWER BANCORP INC	9641
11844	CTBI	COMMUNITY TRUST BANCORP INC	9645
11845	WPPGY	W P P PLC	9646
11845	WPP	W P P PLC NEW	9646
11847	FFHS	FIRST FRANKLIN CORP	9664
11850	XOM	EXXON MOBIL CORP	20678
11866	INCB	INDIANA COMMUNITY BANCORP	9652
11873	DISK	IMAGE ENTERTAINMENT INC	9681
11881	ILX	I L X RESORTS INC	9689
11884	IPAR	INTERMEDIATE PARFUMS INC	9677
11891	MGM	M G M MIRAGE	9764
11896	MXIM	MAXIM INTEGRATED PRODUCTS INC	9698
11898	MTSI	M T S MEDICATION TECHNOLS INC	9723
11903	NOIZ	MICRONETICS INC	9749
11908	EDCI	E D C I HOLDINGS INC	9721
11910	TEAM	TECHTEAM GLOBAL INC	9651
11917	PTEC	PHOENIX TECHNOLOGIES LTD	9819
11923	ADG	ALLIED DEFENSE GROUP INC	6968
11946	PGV	VELOCITY PORTFOLIO GROUP INC	9430
11955	WMI	WASTE MANAGEMENT INC DEL	9804
11955	WM	WASTE MANAGEMENT INC DEL	9804
11969	AXHE	ISHARES TRUST	37493
11972	AXTE	ISHARES TRUST	37493
11976	BMC	B M C SOFTWARE INC	9905
11979	AXMT	ISHARES TRUST	37493
11980	AXIT	ISHARES TRUST	37493
11984	AXEN	ISHARES TRUST	37493
11986	AXID	ISHARES TRUST	37493
11988	AXSL	ISHARES TRUST	37493
11989	AXDI	ISHARES TRUST	37493
11990	KKR	K K R & CO LP	53463
11992	CHFC	CHEMICAL FINANCIAL CORP	9882
11993	LPH	LONGWEI PETROLEUM INVT HLDG LTD	53464
11995	COKE	COCA COLA BOTTLING CO CONS	1035
11996	EMLC	MARKET VECTORS E T F TRUST	50699
