stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,avg_selection_rate,eff_lambda,stock_vol
10693,231,1,0.003781855296639954,0.0061644393401409535,-0.003949604708479049,7.015029275581064e-05,-0.0016232777174072233,0.09346789703100511,0.37317628406362363,0.0007345917123704714,1.577523467073664,1642,1645,,0.006914282064384262,0.003781855296639954,0.01887746105654709
85636,231,1,0.002385787544444729,0.011753053389725628,-0.008705315754514498,-1.3073853111222888e-10,-0.001658389043224684,2.6651422429429042e-08,9.965151688062338e-08,0.00026959597806498065,0.9763232903566761,1642,1645,,0.00837378640776699,0.002385787544444729,0.011908866925570851
13928,231,1,0.003414444469328573,0.008513699149413113,-0.006186703748509714,0.00014829130635951593,-0.000549248213282727,0.10392191636169675,0.549813165775417,0.00019852528945764791,0.4656186045125159,1642,1645,,0.009325498211548289,0.003414444469328573,0.017043497818850888
91111,231,1,0.005702875393653664,0.01795262837053566,-0.031115009061993826,0.0015822726041244684,-0.00510011843513225,0.14972583868962278,1.897088271002727,0.0010607952468007311,1.4303179097746197,1642,1645,,0.01854241185487992,0.005702875393653664,0.028466400671037336
91133,231,1,0.0056301514323425445,0.0027417015267145886,-0.0036031572289334513,-1.8532064771648038e-11,-0.0005090731146897287,7.177866187736042e-09,1.1778580986332708e-08,0.0008366331505173848,1.1862169518591075,1642,1645,,0.0057454011241696475,0.0056301514323425445,0.028103392665747393
80725,231,1,0.002062910899025889,0.013247510271551747,-0.0054060582864590145,-3.1735347683081727e-10,-0.0068299248543230995,3.863367478156737e-08,1.21139437146601e-07,0.0001770018281547116,0.7096983071748526,1642,1645,,0.00816300459887583,0.002062910899025889,0.010297199946832137
91629,231,1,0.0012011482157114502,0.02195407198397082,-0.014751076808133146,-5.8954429782431816e-08,-0.0017712002159402385,5.097158250529348e-06,2.4068817424703972e-05,0.00036370932433503554,2.6841897379011104,1642,1645,,0.005981732243229432,0.0012011482157114502,0.005995636238483143
93054,231,1,0.004933922051566194,0.001583610307703015,-0.0004545772605433207,8.66237649832513e-05,-0.008770938530830108,0.18469455042787464,0.46220997289978855,0.000230157830591103,0.3801174367521465,1642,1645,,0.003944174757281553,0.004933922051566194,0.02462810289627721
46674,231,1,0.0024987080493756933,0.009736826611222688,0.0007719887541823844,0.0016870555769509243,-0.003908684095975223,0.36719485252621986,2.6302280114900984,0.0005419116084414874,1.8016412419732104,1642,1645,,0.0050300204394481355,0.0024987080493756933,0.012472519489489362
90373,231,1,0.0030452596107662035,0.00900597721766673,-0.007634874572306938,-9.967582315084655e-13,-0.0007424234412407582,1.3483344118033716e-10,3.258587790675418e-10,0.0007948976234003746,2.176035946339102,1642,1645,,0.004953372508942259,0.0030452596107662035,0.015200679349204538
89049,231,1,0.001389910327871103,0.005899789543922199,-0.0012471622976331087,0.0008824298344015657,-0.011931156754697803,0.3112554364850732,1.746800046971527,0.00034688436233806113,2.1231302314595517,1642,1645,,0.007236842105263158,0.001389910327871103,0.006937858809614125
86942,231,1,0.0024482859536233696,0.009366671700854623,-0.00875451582669795,-1.056117637787679e-09,-0.001713547483668476,1.102032899292127e-07,3.9040800310654406e-07,0.00046326569152411757,1.8764836293132845,1642,1645,,0.006476750127746551,0.0024482859536233696,0.012220833194194125
77925,231,1,0.001436860354284642,0.003978333649166537,-0.002391131645576028,2.2069829841542266e-05,-0.002800331336537676,0.08807713274580434,0.20893767189779233,0.00037710237659963454,2.162262568863484,1642,1645,,0.0046978794072560035,0.001436860354284642,0.007172213967521115
62498,231,1,0.002883889022755585,0.006131422102367292,-0.0011114136638106231,0.004837646104898896,-0.0004913255731642252,0.6066476868177286,7.186720344793171,0.0010608823875219826,3.0239355690243586,1642,1645,,0.004075114971895759,0.002883889022755585,0.014395183963500846
88660,231,1,0.003557830541028076,0.00780932689769215,-0.0011340061355991082,0.0011473158671410078,-0.0015328211353107246,0.38172574468746934,2.2178907104994927,0.00035696526508226695,0.8120548553931759,1642,1645,,0.006198901379662749,0.003557830541028076,0.017759221920448192
89810,231,1,0.004243927470925609,0.014511594589415092,-0.015080379470412852,-4.5299501927331676e-09,-0.0029884676487645923,1.1561387974341449e-06,6.820315043341802e-06,0.0009818007316800643,1.9885113012692532,1642,1645,,0.011196985181400101,0.004243927470925609,0.021183934676291705
86949,231,1,0.00575524120087934,0.0029756484142144353,-0.003386072555053632,0.00034802502589559303,-0.0025943644644330632,0.2558633787854366,1.0157986483995893,0.0013033211456429008,1.883538770015939,1642,1645,,0.0035800970873786407,0.00575524120087934,0.028727789171934144
75459,231,1,0.0015730508059044145,0.003536659838670631,-0.0008197255632016454,0.0007856090544505756,-0.0017313942755909917,0.367847272329698,1.7959402387829086,0.00035417211350138156,1.925501158393818,1642,1645,,0.006815278487480838,0.0015730508059044145,0.007852020502956247
71079,231,1,0.0023643011079785706,0.008300940783369713,-0.011061412864685538,-7.674438862181887e-11,-0.011861077653305907,2.561708991107866e-08,1.1272568253753747e-07,0.00041479768434115363,1.5011840939348284,1642,1645,,0.007754215636177822,0.0023643011079785706,0.011801615501119404
