permno,sector,own_rate,other_rate,diff
51633,Utilities & Telecom,0.0,0.004205389,-0.004205389
13610,Industrials,0.0,0.005006068,-0.005006068
20415,Financials,0.015123227,0.0064553507,0.008667876
77692,Financials,0.0017270352,0.0051834784,-0.003456443
12211,Industrials,0.008090614,0.007598142,0.0004924722
90751,Consumer,0.015700849,0.006004614,0.009696235
92506,Financials,0.004574309,0.0059411167,-0.0013668076
43553,Consumer,0.0015928398,0.003464072,-0.0018712322
77584,Consumer,0.021692961,0.003897498,0.017795464
90300,Financials,0.011809186,0.005066919,0.006742267
88924,Consumer,0.0037166262,0.0061346423,-0.002418016
79229,Financials,0.017597089,0.0036099227,0.013987166
83462,Industrials,0.00637136,0.005355635,0.0010157246
62922,Financials,0.000746826,0.009143081,-0.008396255
69032,Financials,0.02973301,0.008769404,0.020963605
92385,Financials,0.014749812,0.007014151,0.0077356608
23835,Utilities & Telecom,0.010720064,0.0058278386,0.0048922254
78038,Financials,0.034634057,0.0127564315,0.021877626
92635,Industrials,0.0,0.0067341174,-0.0067341174
85261,Industrials,0.00020226538,0.0058667953,-0.0056645297
