"DATE","vwretx","sprtrn"
"2011-10-25",-0.019841,-0.020045
"2011-10-26",0.011506,0.010537
"2011-10-27",0.036125,0.034291
"2011-10-28",0.000192,0.000389
"2011-10-31",-0.024666,-0.024738
"2011-11-01",-0.028665,-0.027942
"2011-11-02",0.016958,0.016105
"2011-11-03",0.019018,0.018782
"2011-11-04",-0.005593,-0.00628
"2011-11-07",0.004843,0.006296
"2011-11-08",0.010777,0.011736
"2011-11-09",-0.037956,-0.036695
"2011-11-10",0.007271,0.008616
"2011-11-11",0.019762,0.019489
"2011-11-14",-0.009496,-0.00955
"2011-11-15",0.004354,0.004817
"2011-11-16",-0.015307,-0.016616
"2011-11-17",-0.017236,-0.0168
"2011-11-18",-0.000353,-0.000395
"2011-11-21",-0.018765,-0.018648
"2011-11-22",-0.004186,-0.004141
"2011-11-23",-0.023274,-0.022095
"2011-11-25",-0.003736,-0.002686
"2011-11-28",0.030393,0.02924
"2011-11-29",0.001989,0.002214
"2011-11-30",0.043778,0.043315
"2011-12-01",-0.002337,-0.001909
"2011-12-02",7.6e-05,-0.000241
"2011-12-05",0.010262,0.010287
"2011-12-06",0.000361,0.001106
"2011-12-07",0.001653,0.002018
"2011-12-08",-0.022962,-0.021142
"2011-12-09",0.017735,0.016883
"2011-12-12",-0.0156,-0.014914
"2011-12-13",-0.011522,-0.008686
"2011-12-14",-0.012835,-0.011348
"2011-12-15",0.003636,0.003243
"2011-12-16",0.004869,0.003216
"2011-12-19",-0.012698,-0.011733
"2011-12-20",0.029823,0.029825
"2011-12-21",0.001872,0.00195
"2011-12-22",0.008688,0.008266
"2011-12-23",0.007791,0.009035
"2011-12-27",-5.1e-05,7.9e-05
"2011-12-28",-0.013933,-0.012478
"2011-12-29",0.010716,0.010707
"2011-12-30",-0.002611,-0.004291
"2012-01-03",0.016107,0.015474
"2012-01-04",-0.000596,0.000188
"2012-01-05",0.002928,0.002944
"2012-01-06",-0.00315,-0.002537
"2012-01-09",0.002796,0.002262
"2012-01-10",0.010408,0.008886
"2012-01-11",0.000846,0.00031
"2012-01-12",0.003027,0.002337
"2012-01-13",-0.005323,-0.004948
"2012-01-17",0.003895,0.003553
"2012-01-18",0.01219,0.011108
"2012-01-19",0.005571,0.004939
"2012-01-20",0.00086,0.000669
"2012-01-23",0.001597,0.000471
"2012-01-24",-0.000861,-0.001026
"2012-01-25",0.009929,0.008672
"2012-01-26",-0.004938,-0.005746
"2012-01-27",0.00058,-0.001593
"2012-01-30",-0.003802,-0.002522
"2012-01-31",-9e-05,-0.000457
"2012-02-01",0.011016,0.0089
"2012-02-02",0.001764,0.001095
