PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP
19584,2024-12-31,Y5847312,MAXN,MAXEON SOLAR TECHNOLOGIES LTD,57200,Y5847312
19585,2024-12-30,50157510,KYMR,KYMERA THERAPEUTICS INC,57201,50157510
19585,2024-12-31,50157510,KYMR,KYMERA THERAPEUTICS INC,57201,50157510
19591,2024-12-30,33740F75,BUFR,FIRST TRUST E T F VIII,55693,33740F75
19591,2024-12-31,33740F75,BUFR,FIRST TRUST E T F VIII,55693,33740F75
19592,2024-12-30,60938K30,ML,MONEYLION INC,57102,60938K30
19592,2024-12-31,60938K30,ML,MONEYLION INC,57102,60938K30
19593,2024-12-30,60471A10,MIR,MIRION TECHNOLOGIES INC,57103,60471A10
19593,2024-12-31,60471A10,MIR,MIRION TECHNOLOGIES INC,57103,60471A10
19594,2024-12-30,45782C23,TBJL,INNOVATOR E T F S TRUST,55239,45782C23
19594,2024-12-31,45782C23,TBJL,INNOVATOR E T F S TRUST,55239,45782C23
19595,2024-12-30,45782C24,TFJL,INNOVATOR E T F S TRUST,55239,45782C24
19595,2024-12-31,45782C24,TFJL,INNOVATOR E T F S TRUST,55239,45782C24
