stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,return_variance,failed
90444,20,1,5.783055944698348e-07,0.9506438898626484,-0.589248102609006,0.00010791175529478725,-0.013368900376498516,0.010353441943960115,0.4528593215873957,0.0003213122859517667,0.7380216878811032,1863,1866,,0.0003536371525797702,
90458,20,1,5.783055944698348e-07,0.9492941855893428,-0.5465710123721239,-3.443502150091149e-09,-0.0002450615992133365,7.920416496887725e-08,3.1797061991867216e-06,0.0006612269008382351,2.471104227617646,1863,1866,,0.00013394472604966152,True
90494,20,1,5.783055944698348e-07,0.9484282357853394,-0.7286071664849498,6.481663743262978e-05,-0.00025068877461542627,0.0072565651192166925,0.3489146573249613,-0.001245929407881538,-1.3007338181868817,1863,1866,,0.0016922344168057491,
90495,20,1,5.783055944698348e-07,0.9307897473516055,-0.5654935707667064,-2.5194382136106697e-09,-0.0032225075185730034,2.7113072849670384e-07,1.1515612790689835e-05,5.081493818595542e-05,0.15328803578961697,1863,1866,,0.00020702562729513977,True
90496,20,1,5.783055944698348e-07,0.957188057670648,-0.7300992129480841,-8.43769498715119e-14,-0.007305235389908571,7.336843949571203e-13,3.377913283580321e-11,-0.00046282335117988846,-0.5126206425818642,1863,1866,,0.0015195476309099204,True
90499,20,1,5.783055944698348e-07,0.9480684495251988,-0.6159103091567715,0.0001761811274570979,-0.0016632674766869915,0.012638428115423669,0.5801241180585779,0.0001763924760629304,0.45803015076168974,1863,1866,,0.00027469384668752354,
90505,20,1,5.783055944698348e-07,0.9470860766891475,-0.6749475105682916,-1.3693912670476038e-09,-0.001737526769935327,2.453799192672583e-08,1.0615279129033064e-06,0.0008873690200339116,1.6389386754073292,1863,1866,,0.000562209433565428,True
90507,20,1,5.783055944698348e-07,0.9558651391008369,-0.5621277903496156,-1.73705494432852e-11,-0.001261527281721575,5.400408048102769e-10,2.260928491966591e-08,0.0011496994987304262,2.9852970466946425,1863,1866,,0.0002828365961893191,True
90510,20,1,5.783055944698348e-07,0.9521415523983133,-0.6528803192695343,-5.668920888268758e-10,-0.0020096777878020333,2.128000529473645e-08,9.250188744557077e-07,0.00027588086313451584,1.4437904020927628,1863,1866,,6.860597055570095e-05,True
90516,20,1,5.783055944698348e-07,0.9482780997806964,-0.6200553649252483,0.00021914943764067552,-0.00249106156714185,0.014089426680808786,0.6475082245757803,0.0007503533258396154,1.1162824123487534,1863,1866,,0.000835484907904933,
90518,20,1,5.783055944698348e-07,0.9442500786917724,-0.5806057928366144,8.247291664786882e-05,-0.004987440686079925,0.009156923968832694,0.3951648180823218,0.00024385980426865547,1.137379645296742,1863,1866,,8.633638677355452e-05,
90520,20,1,5.783055944698348e-07,0.9518472142943878,-0.6528273410044949,3.1067249246508055e-05,-0.0017846755990853502,0.005704450149957354,0.24151912714834448,0.0006608974014886108,1.3590090212159633,1863,1866,,0.0004414714897981248,
90523,20,1,5.783055944698348e-07,0.9443792576629607,-0.5167300563297803,0.00011060903955562029,-0.0005216760239130647,0.010919167127712556,0.45854942252408176,0.00044998659122227154,1.9811747248778289,1863,1866,,0.00010168517971967221,
90524,20,1,5.783055944698348e-07,0.9545975545136731,-0.529997796802957,-1.7241763572428681e-12,-0.0011913093595306012,2.2714327223883298e-11,9.223516373117149e-10,0.0006337758908991242,1.8088515539809185,1863,1866,,0.00023001852204649614,True
90531,20,1,5.783055944698348e-07,0.9524976413284238,-0.6228603094553278,0.0019610211984223413,-0.00025128544569463784,0.03954550123522006,1.9923606769078748,-0.000139553165998673,-0.23293043212676537,1863,1866,,0.000670434334465945,
90533,20,1,5.783055944698348e-07,0.9416804739863603,-0.7702599518718913,-2.6151525389650487e-11,-0.00037548158249078867,3.031165854980749e-10,1.4086072853092175e-08,-0.0006565271978532308,-0.7143022903366147,1863,1866,,0.0015620931959333868,True
90537,20,1,5.783055944698348e-07,0.9423573920633802,-0.6036966213216854,-3.1017410861977623e-11,-0.0016421811351980953,2.1318439398405954e-09,9.080052159864165e-08,-0.0010759496873265202,-1.6195165745341928,1863,1866,,0.0008178683098564562,True
